Shelf ID,Book ID,Book Name,Author,Category
R-1-1,1395,The last Juror /The broker,John Grisham,Adult Fiction
R-1-1,1072,Ford county stores,John Grisham,Adult Fiction
R-1-1,1097,The secret lawyer,John Grisham,Adult Fiction
R-1-1,1139,The client,John Grisham,Adult Fiction
R-1-1,1140,The last Juror,John Grisham,Adult Fiction
R-1-1,202,The brethen/ A painted house,John Grisham,Adult Fiction
R-1-1,455,The Devil's Alternative,John Grisham,Adult Fiction
R-1-1,1201,The firm/ The Pelican brief,John Grisham,Adult Fiction
R-1-1,200,The testament/A time to kill,John Grisham,Adult Fiction
R-1-1,201,The Reckoning,John Grisham,Adult Fiction
R-1-1,339,The Summons,John Grisham,Adult Fiction
R-1-1,2,Rogue Lawyer,John Grisham,Adult Fiction
R-1-1,335,Bleachers,John Grisham,Adult Fiction
R-1-1,110,The king of Torts,John Grisham,Adult Fiction
R-1-1,1090,Playing for Pizza,John Grisham,Adult Fiction
R-1-1,1090(A),Rainmaker,John Grisham,Adult Fiction
R-1-1,454,The day of the Jackal,Fredrick Forsyth,Adult Fiction
R-1-1,1046,THE Bourne legacy,Robert Ludham,Adult Fiction
R-1-1,1047,THE Bourne Supremacy,Robert Ludham,Adult Fiction
R-1-1,3021,Reader's Digest condensed books,-,Adult Fiction
R-1-2,334,To cut a long story short,Jeffrey Archer,Adult Fiction
R-1-2,1124,A prisoner of Birth,Jeffrey Archer,Adult Fiction
R-1-2,767,Heads you win,Jeffrey Archer,Adult Fiction
R-1-2,1123,Over my dead body,Jeffrey Archer,Adult Fiction
R-1-2,1102,Sons of Fortune,Jeffrey Archer,Adult Fiction
R-1-2,105,The secret Son,Laila Lallami,Adult Fiction
R-1-2,03(A),1984,George Orwel,Adult Fiction
R-1-2,288,Daddy's Girls,Danielle Steel,Adult Fiction
R-1-2,632,HeartBeat,Danielle Steel,Adult Fiction
R-1-2,633,Silent Honour,Danielle Steel,Adult Fiction
R-1-2,174,Granny Dan,Danielle Steel,Adult Fiction
R-1-2,175,Secrets,Danielle Steel,Adult Fiction
R-1-2,180,Jewels,Danielle Steel,Adult Fiction
R-1-2,181,Answered Prayers,Danielle Steel,Adult Fiction
R-1-2,107,Jemima J,Jane Green,Adult Fiction
R-1-2,629,The Best Laid Plans,Sidney Sheldon,Adult Fiction
R-1-2,637,Doctors,Erich Segal,Adult Fiction
R-1-2,681,Oliver's story,Erich Segal,Adult Fiction
R-1-2,24,Love Story,Erich Segal,Adult Fiction
R-1-2,682,Tueday's with Morrie,Mitch Albom,Adult Fiction
R-1-2,285,At Night all blood is black,David Diop,Adult Fiction
R-1-2,1413,The Scarecrow and army of thieves,Mathew reily,Adult Fiction
